金额,商品,支付时间,地点,商品大类,商品二级类
3.0,250ml维他原味豆奶,2017/1/3 17:49,E,饮料,植物蛋白
3.5,维他奶（巧克力味）,2017/1/3 18:44,E,饮料,植物蛋白
1.5,45g双汇泡面拍挡,2017/1/3 19:23,D,非饮料,肉干/豆制品/蛋
1.8,32g卫龙亲嘴烧,2017/1/3 20:24,A,非饮料,肉干/豆制品/蛋
2.4,20g咪咪虾条马来西亚风味,2017/1/3 20:41,D,非饮料,膨化食品
4.8,2g韩国海牌海苔,2017/1/3 20:42,C,非饮料,海味零食
3.5,维他原味豆奶,2017/1/3 20:49,E,饮料,植物蛋白
6.0,268ml雀巢咖啡丝滑拿铁,2017/1/3 22:06,E,饮料,咖啡
2.5,30g无穷农场盐_鸡蛋,2017/1/3 22:15,C,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/4 00:42,C,饮料,茶饮料
2.5,可口可乐330ml,2017/1/4 00:43,B,饮料,碳酸饮料
4.0,银鹭八宝粥,2017/1/4 00:43,E,饮料,方便速食
7.0,150g洽洽原香瓜子,2017/1/4 00:44,B,非饮料,坚果炒货
8.0,250ml维他椰子植物蛋白饮料,2017/1/4 03:04,E,饮料,植物蛋白
4.5,40g乐事薯片黄瓜味,2017/1/4 04:35,B,非饮料,膨化食品
8.0,80g四洲粟一烧烧烤味,2017/1/4 08:58,A,非饮料,膨化食品
3.0,250ml维他奶低糖原味,2017/1/4 08:59,D,饮料,植物蛋白
1.5,鸭翅,2017/1/4 08:59,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/1/4 08:59,E,饮料,茶饮料
6.0,红牛,2017/1/4 08:59,E,饮料,功能饮料
7.0,泰奇八宝粥,2017/1/4 11:19,D,非饮料,方便速食
3.0,250ml维他柠檬茶,2017/1/4 12:13,E,饮料,茶饮料
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/4 13:15,C,非饮料,饼干糕点
6.0,330ml伊利畅意乳酸菌原味,2017/1/4 13:50,A,饮料,乳制品
1.5,12g劲仔小鱼麻辣味,2017/1/4 17:22,C,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘原味酸奶,2017/1/4 17:23,C,饮料,乳制品
3.5,王老吉（罐）,2017/1/4 17:23,C,饮料,茶饮料
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/4 21:06,D,非饮料,肉干/豆制品/蛋
4.0,上好佳田园薯片,2017/1/4 21:09,E,非饮料,膨化食品
1.8,32g卫龙亲嘴烧,2017/1/4 22:33,B,非饮料,肉干/豆制品/蛋
4.5,80g香飘飘椰果奶茶原味,2017/1/5 00:33,E,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/5 01:25,E,非饮料,肉干/豆制品/蛋
5.0,600ml脉动青柠,2017/1/5 12:08,E,饮料,功能饮料
2.5,14g德芙巧克力,2017/1/5 14:54,A,非饮料,糖果/巧克力
3.0,旺仔牛奶145ml,2017/1/5 15:25,C,饮料,乳制品
2.0,双汇玉米热狗肠,2017/1/5 15:32,E,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/5 15:51,B,饮料,水
1.5,香豆干,2017/1/5 15:51,E,非饮料,肉干/豆制品/蛋
3.0,统一绿茶,2017/1/5 16:02,A,饮料,茶饮料
5.0,阿萨姆奶茶,2017/1/5 16:02,B,饮料,茶饮料
4.5,250ml燕塘原味酸奶,2017/1/5 16:11,C,饮料,乳制品
3.5,王老吉（罐）,2017/1/5 16:20,D,饮料,茶饮料
1.5,鸭翅,2017/1/5 16:20,E,非饮料,肉干/豆制品/蛋
5.0,500ml统一阿萨姆奶茶,2017/1/5 17:03,E,饮料,茶饮料
4.5,250ml燕塘甜牛奶,2017/1/5 18:03,B,饮料,乳制品
5.5,205g伊利安慕希原味,2017/1/5 18:51,A,饮料,乳制品
2.5,30g无穷农场盐_鸡蛋,2017/1/5 19:51,B,非饮料,肉干/豆制品/蛋
0.6,20g咪咪虾条马来西亚风味,2017/1/5 20:08,B,非饮料,膨化食品
3.0,可口可乐最新款,2017/1/5 22:13,C,饮料,碳酸饮料
3.5,34g公仔迷你杯牛肉味,2017/1/6 01:04,E,非饮料,方便速食
4.5,250ml燕塘甜牛奶,2017/1/6 04:09,C,饮料,乳制品
8.0,80g四洲粟一烧烧烤味,2017/1/6 14:02,A,非饮料,膨化食品
3.5,维他奶黑豆奶饮品,2017/1/6 14:58,A,饮料,植物蛋白
2.5,30g无穷农场盐_鸡蛋,2017/1/6 16:56,B,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/1/6 17:40,B,饮料,乳制品
6.0,86g合味道海鲜风味,2017/1/6 22:34,A,非饮料,方便速食
4.0,450ml美汁源果粒橙,2017/1/6 23:17,B,饮料,果蔬饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/7 08:59,B,非饮料,肉干/豆制品/蛋
2.8,145ml旺仔牛奶盒装,2017/1/7 13:01,C,饮料,乳制品
3.0,雪碧最新款,2017/1/7 13:02,D,饮料,碳酸饮料
3.0,无穷烤鸡小腿（蜂蜜）,2017/1/7 13:52,E,非饮料,肉干/豆制品/蛋
34.0,188g澳门永辉鸡仔饼,2017/1/7 14:02,C,非饮料,饼干糕点
4.0,55g奥利奥原味芝士饼干,2017/1/7 14:04,D,非饮料,饼干糕点
3.0,250ml维他奶低糖原味,2017/1/7 14:15,E,饮料,植物蛋白
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/7 15:14,C,非饮料,饼干糕点
5.0,85g统一老坛酸菜牛肉面,2017/1/7 18:14,B,非饮料,方便速食
2.0,85g新麦潮北海道吐司,2017/1/8 09:12,B,非饮料,饼干糕点
5.0,480ml小茗同学冷泡青柠红茶,2017/1/8 11:55,E,饮料,茶饮料
3.5,维他奶（巧克力味）,2017/1/8 12:08,E,饮料,植物蛋白
4.0,450ml美汁源果粒橙,2017/1/8 12:09,A,饮料,果蔬饮料
5.0,268ml雀巢咖啡丝滑拿铁,2017/1/8 12:26,E,饮料,咖啡
5.0,500ml统一阿萨姆奶茶,2017/1/8 12:36,A,饮料,茶饮料
6.0,13g无穷烤鸡小腿蜂蜜味,2017/1/8 13:05,A,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮北海道吐司,2017/1/8 15:54,A,非饮料,饼干糕点
3.0,10g卫龙亲嘴烧香辣味,2017/1/8 19:53,D,非饮料,肉干/豆制品/蛋
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/8 19:54,B,非饮料,饼干糕点
1.5,香脆肠,2017/1/8 19:54,B,非饮料,肉干/豆制品/蛋
3.0,熊字饼,2017/1/8 19:54,D,非饮料,饼干糕点
25.0,芙蓉王,2017/1/8 19:57,A,非饮料,香烟
6.5,430g泰奇八宝粥,2017/1/8 19:57,B,非饮料,方便速食
6.0,红牛,2017/1/8 19:57,B,饮料,功能饮料
3.5,王老吉（罐）,2017/1/8 19:57,D,饮料,茶饮料
4.0,阿萨姆奶茶,2017/1/8 20:00,E,饮料,茶饮料
3.0,芬达330ml,2017/1/8 20:02,B,饮料,碳酸饮料
3.0,统一冰红茶,2017/1/8 20:03,B,饮料,茶饮料
3.5,东鹏特饮,2017/1/8 20:03,E,饮料,功能饮料
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/8 20:04,A,饮料,咖啡
4.0,阿萨姆奶茶,2017/1/8 20:05,E,饮料,茶饮料
1.0,咪咪,2017/1/8 20:06,C,非饮料,膨化食品
4.0,阿萨姆奶茶,2017/1/8 20:06,E,饮料,茶饮料
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/8 20:07,C,非饮料,饼干糕点
2.0,怡宝纯净水,2017/1/8 20:07,C,饮料,水
3.0,伊利纯牛奶,2017/1/8 20:07,D,饮料,乳制品
3.0,12g劲仔小鱼麻辣味,2017/1/8 20:09,C,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/1/8 20:10,D,饮料,乳制品
3.0,可口可乐330ml,2017/1/8 20:10,E,饮料,碳酸饮料
2.0,伊利优酸乳,2017/1/8 20:12,C,饮料,乳制品
3.0,雪碧最新款,2017/1/8 20:12,E,饮料,碳酸饮料
1.5,鸭翅,2017/1/8 20:13,A,非饮料,肉干/豆制品/蛋
6.0,红牛,2017/1/8 20:13,B,饮料,功能饮料
5.5,85g统一老坛酸菜牛肉面,2017/1/8 20:14,D,非饮料,方便速食
3.5,维他原味豆奶,2017/1/8 20:15,B,饮料,植物蛋白
3.0,怡宝纯净水,2017/1/8 20:15,B,饮料,水
4.0,阿萨姆奶茶,2017/1/8 20:15,C,饮料,茶饮料
5.5,205g伊利安慕希原味,2017/1/8 20:17,A,饮料,乳制品
6.0,红牛,2017/1/8 20:19,A,饮料,功能饮料
4.5,250ml燕塘原味酸奶,2017/1/8 20:20,C,饮料,乳制品
3.5,统一绿茶,2017/1/8 20:22,B,饮料,茶饮料
2.5,伊利优酸乳,2017/1/8 20:22,C,饮料,乳制品
2.0,怡宝纯净水,2017/1/8 20:23,A,饮料,水
2.0,怡宝纯净水,2017/1/8 20:23,C,饮料,水
11.8,37.5g费列罗榛果威化巧克力3颗,2017/1/8 20:24,C,非饮料,糖果/巧克力
6.0,红牛,2017/1/8 20:25,E,饮料,功能饮料
3.2,2g韩国海牌海苔,2017/1/8 20:30,D,非饮料,海味零食
1.5,劲仔小鱼（卤香味）,2017/1/8 20:32,B,非饮料,肉干/豆制品/蛋
3.0,维他奶,2017/1/8 20:32,B,饮料,植物蛋白
2.0,怡宝纯净水,2017/1/8 20:32,E,饮料,水
4.5,40g乐事薯片黄瓜味,2017/1/8 20:33,D,非饮料,膨化食品
4.5,50g上好佳日式鱼果,2017/1/8 20:34,B,非饮料,膨化食品
6.5,70g乐事薯片（黄瓜味）,2017/1/8 20:36,D,非饮料,膨化食品
6.0,安慕希酸奶,2017/1/8 20:37,B,饮料,乳制品
3.0,250ml维他原味豆奶,2017/1/8 20:37,E,饮料,植物蛋白
4.0,阿萨姆奶茶,2017/1/8 20:37,E,饮料,茶饮料
10.0,口味王槟榔（绿）,2017/1/8 20:38,E,非饮料,蜜饯/果干
3.0,果粒橙,2017/1/8 20:42,A,饮料,果蔬饮料
1.5,香脆肠,2017/1/8 20:42,B,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/8 20:46,B,饮料,茶饮料
2.0,怡宝纯净水,2017/1/8 20:46,D,饮料,水
2.5,无穷农场盐_鸡蛋,2017/1/8 20:48,A,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/1/8 20:49,B,饮料,茶饮料
4.5,脉动,2017/1/8 20:49,C,饮料,功能饮料
2.5,可口可乐330ml,2017/1/8 20:52,B,饮料,碳酸饮料
6.0,红牛,2017/1/8 20:52,C,饮料,功能饮料
4.5,40g呀土豆薯片滋香烤鸡味,2017/1/8 20:55,A,非饮料,膨化食品
3.5,冰糖雪梨,2017/1/8 20:56,B,饮料,果蔬饮料
3.0,雪碧最新款,2017/1/8 20:56,E,饮料,碳酸饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/8 20:58,D,非饮料,肉干/豆制品/蛋
5.5,统一来一桶香辣老坛酸菜牛肉面,2017/1/8 21:00,B,非饮料,方便速食
3.0,怡宝纯净水,2017/1/8 21:00,B,饮料,水
2.5,30g无穷农场盐_鸡蛋,2017/1/8 21:02,D,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/8 21:03,B,饮料,水
4.0,阿萨姆奶茶,2017/1/8 21:03,C,饮料,茶饮料
3.0,250ml维他奶黑豆奶饮品,2017/1/8 21:04,B,饮料,植物蛋白
4.5,250ml燕塘原味酸奶,2017/1/8 21:05,B,饮料,乳制品
3.0,250ml维他柠檬茶,2017/1/8 21:06,A,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/8 21:07,A,非饮料,肉干/豆制品/蛋
4.5,40g乐事美国经典原味,2017/1/8 21:10,B,非饮料,膨化食品
2.0,怡宝纯净水,2017/1/8 21:10,B,饮料,水
1.0,香豆干,2017/1/8 21:10,D,非饮料,肉干/豆制品/蛋
3.5,250ml维他奶巧克力味,2017/1/8 21:11,D,饮料,植物蛋白
1.0,香豆干,2017/1/8 21:11,D,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘红枣牛奶,2017/1/8 21:15,E,饮料,乳制品
4.0,阿萨姆奶茶,2017/1/8 21:16,A,饮料,茶饮料
3.5,东鹏特饮,2017/1/8 21:16,C,饮料,功能饮料
3.0,卫龙大面筋,2017/1/8 21:16,D,非饮料,肉干/豆制品/蛋
3.0,统一冰红茶,2017/1/8 21:16,E,饮料,茶饮料
4.0,脉动,2017/1/8 21:17,B,饮料,功能饮料
3.0,统一冰红茶,2017/1/8 21:17,E,饮料,茶饮料
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/8 21:20,A,非饮料,饼干糕点
4.0,营养快线,2017/1/8 21:21,A,饮料,乳制品
3.0,百事可乐500ml,2017/1/8 21:21,B,饮料,碳酸饮料
3.5,统一绿茶,2017/1/8 21:21,C,饮料,茶饮料
3.0,可口可乐最新款,2017/1/8 21:22,B,饮料,碳酸饮料
3.5,统一冰红茶,2017/1/8 21:22,D,饮料,茶饮料
5.0,85g统一老坛酸菜牛肉面,2017/1/8 21:23,A,非饮料,方便速食
3.0,雪碧最新款,2017/1/8 21:24,A,饮料,碳酸饮料
5.0,营养快线,2017/1/8 21:24,B,饮料,乳制品
3.0,怡宝纯净水,2017/1/8 21:25,B,饮料,水
3.0,雪碧最新款,2017/1/8 21:25,E,饮料,碳酸饮料
3.5,东鹏特饮,2017/1/8 21:26,A,饮料,功能饮料
3.5,500ml加多宝,2017/1/8 21:26,B,饮料,茶饮料
5.0,王老吉（500ml）,2017/1/8 21:26,B,饮料,茶饮料
3.5,东鹏特饮,2017/1/8 21:27,B,饮料,功能饮料
3.0,熊字饼,2017/1/8 21:27,E,非饮料,饼干糕点
1.8,32g卫龙亲嘴烧,2017/1/8 21:31,A,非饮料,肉干/豆制品/蛋
4.8,诗竹竹纤维面巾纸,2017/1/8 21:32,A,非饮料,纸巾
10.0,味之不规则饼干（芝士味）,2017/1/8 21:34,C,非饮料,饼干糕点
0.6,10g卫龙亲嘴烧香辣味,2017/1/8 21:41,D,非饮料,肉干/豆制品/蛋
0.8,20g咪咪虾条马来西亚风味,2017/1/8 21:43,A,非饮料,膨化食品
2.0,85g新麦潮北海道吐司,2017/1/8 21:44,A,非饮料,饼干糕点
3.0,250ml维他柠檬茶,2017/1/8 21:46,B,饮料,茶饮料
1.5,香脆肠,2017/1/8 21:46,B,非饮料,肉干/豆制品/蛋
3.0,熊字饼,2017/1/8 21:46,E,非饮料,饼干糕点
6.5,70g乐事薯片原味,2017/1/8 21:53,A,非饮料,膨化食品
3.5,250ML东鹏特饮,2017/1/8 21:54,E,饮料,功能饮料
5.0,脉动,2017/1/8 21:55,C,饮料,功能饮料
2.0,香脆肠,2017/1/8 21:55,D,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/1/8 21:56,A,非饮料,肉干/豆制品/蛋
5.0,脉动,2017/1/8 21:56,C,饮料,功能饮料
3.0,怡宝纯净水,2017/1/8 21:57,B,饮料,水
4.0,冰糖雪梨,2017/1/8 21:57,E,饮料,果蔬饮料
3.0,250ml维他柠檬茶,2017/1/8 22:01,D,饮料,茶饮料
6.0,330ml伊利畅意乳酸菌原味,2017/1/8 22:03,C,饮料,乳制品
18.0,260g马来西亚进口茱蒂丝口口香饼干,2017/1/8 22:42,A,非饮料,饼干糕点
2.5,30g无穷农场盐_鸡蛋,2017/1/8 22:46,A,非饮料,肉干/豆制品/蛋
5.0,500ml统一阿萨姆奶茶,2017/1/8 22:47,B,饮料,茶饮料
0.8,20g咪咪虾条马来西亚风味,2017/1/8 22:50,E,非饮料,膨化食品
6.0,86g合味道海鲜风味,2017/1/8 22:55,C,非饮料,方便速食
4.5,78g卫龙亲嘴语辣条,2017/1/8 22:56,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他奶低糖原味,2017/1/8 22:57,D,饮料,植物蛋白
2.0,145ml旺仔牛奶盒装,2017/1/8 23:13,E,饮料,乳制品
2.5,30g无穷农场盐_鸡蛋,2017/1/8 23:14,A,非饮料,肉干/豆制品/蛋
4.0,85g新麦潮北海道吐司,2017/1/8 23:22,B,非饮料,饼干糕点
3.5,芬达330ml,2017/1/8 23:23,B,饮料,碳酸饮料
5.0,500ml统一阿萨姆奶茶,2017/1/8 23:24,A,饮料,茶饮料
3.5,85g新麦潮手撕面包（提子味）,2017/1/8 23:26,B,非饮料,饼干糕点
3.0,怡宝纯净水,2017/1/8 23:26,B,饮料,水
25.0,芙蓉王,2017/1/8 23:26,E,非饮料,香烟
4.5,250ml燕塘原味酸奶,2017/1/8 23:33,E,饮料,乳制品
2.5,250ml维他奶巧克力味,2017/1/8 23:34,B,饮料,植物蛋白
4.5,500ml加多宝,2017/1/8 23:35,A,饮料,茶饮料
6.5,430g泰奇八宝粥,2017/1/9 00:03,A,非饮料,方便速食
3.0,怡宝纯净水,2017/1/9 00:05,B,饮料,水
3.0,熊字饼,2017/1/9 00:05,E,非饮料,饼干糕点
4.0,55g奥利奥原味芝士饼干,2017/1/9 00:06,A,非饮料,饼干糕点
3.0,果粒橙,2017/1/9 00:07,A,饮料,果蔬饮料
3.5,果粒橙,2017/1/9 00:07,B,饮料,果蔬饮料
4.0,王老吉（罐）,2017/1/9 00:09,B,饮料,茶饮料
3.0,果粒橙,2017/1/9 00:09,D,饮料,果蔬饮料
6.0,86g合味道海鲜风味,2017/1/9 00:19,A,非饮料,方便速食
1.6,20g咪咪虾条马来西亚风味,2017/1/9 00:20,D,非饮料,膨化食品
4.5,50g上好佳日式鱼果,2017/1/9 00:21,A,非饮料,膨化食品
4.5,50g双层百力滋奶咖味,2017/1/9 00:34,A,非饮料,饼干糕点
4.5,500ml加多宝,2017/1/9 01:24,B,饮料,茶饮料
6.5,250ml红牛,2017/1/9 02:06,A,饮料,功能饮料
4.0,阿萨姆奶茶,2017/1/9 02:43,E,饮料,茶饮料
3.0,统一冰红茶,2017/1/9 02:44,A,饮料,茶饮料
3.0,果粒橙,2017/1/9 03:08,A,饮料,果蔬饮料
5.0,王老吉（500ml）,2017/1/9 03:08,B,饮料,茶饮料
3.0,可口可乐最新款,2017/1/9 03:10,B,饮料,碳酸饮料
3.0,可口可乐最新款,2017/1/9 03:10,E,饮料,碳酸饮料
3.5,维他奶（巧克力味）,2017/1/9 03:10,E,饮料,植物蛋白
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/9 03:24,E,饮料,咖啡
3.5,250ml维他奶巧克力味,2017/1/9 03:26,B,饮料,植物蛋白
3.5,伊利优酸乳,2017/1/9 03:26,B,饮料,乳制品
2.0,双汇玉米热狗肠,2017/1/9 04:31,D,非饮料,肉干/豆制品/蛋
1.8,32g卫龙亲嘴烧,2017/1/9 04:39,C,非饮料,肉干/豆制品/蛋
4.0,145ml旺仔牛奶盒装,2017/1/9 04:41,C,饮料,乳制品
4.5,250ml燕塘红枣牛奶,2017/1/9 04:42,C,饮料,乳制品
4.5,加多宝,2017/1/9 04:49,C,饮料,茶饮料
1.5,45g双汇泡面拍挡,2017/1/9 05:01,A,非饮料,肉干/豆制品/蛋
2.0,145ml旺仔牛奶盒装,2017/1/9 07:20,E,饮料,乳制品
4.0,熊字饼,2017/1/9 07:36,B,非饮料,饼干糕点
3.0,可口可乐（500ml）,2017/1/9 07:36,D,饮料,碳酸饮料
3.8,110g顺宝九制话梅,2017/1/9 07:37,C,非饮料,蜜饯/果干
4.5,250ml燕塘甜牛奶,2017/1/9 07:38,B,饮料,乳制品
