,金额,商品,支付时间,地点,大类,二级类
629,1.5,40g双汇玉米热狗肠,2017/7/26 14:03,C,非饮料,肉干/豆制品/蛋
630,1.5,40g双汇玉米热狗肠,2017/7/26 14:47,C,非饮料,肉干/豆制品/蛋
632,1.5,40g双汇玉米热狗肠,2017/7/30 03:45,C,非饮料,肉干/豆制品/蛋
651,1.5,40g双汇玉米热狗肠,2017/8/14 17:10,C,非饮料,肉干/豆制品/蛋
680,1.5,40g双汇玉米热狗肠,2017/8/25 17:44,C,非饮料,肉干/豆制品/蛋
692,1.5,40g双汇玉米热狗肠,2017/8/30 16:39,C,非饮料,肉干/豆制品/蛋
698,1.5,40g双汇玉米热狗肠,2017/9/1 13:49,C,非饮料,肉干/豆制品/蛋
700,3.0,40g双汇玉米热狗肠,2017/9/1 14:57,C,非饮料,肉干/豆制品/蛋
713,1.5,40g双汇玉米热狗肠,2017/9/3 16:59,C,非饮料,肉干/豆制品/蛋
724,3.0,40g双汇玉米热狗肠,2017/9/6 22:48,C,非饮料,肉干/豆制品/蛋
734,1.5,40g双汇玉米热狗肠,2017/9/9 21:04,C,非饮料,肉干/豆制品/蛋
746,1.5,40g双汇玉米热狗肠,2017/9/13 09:07,C,非饮料,肉干/豆制品/蛋
753,1.5,40g双汇玉米热狗肠,2017/9/14 17:20,C,非饮料,肉干/豆制品/蛋
762,1.5,40g双汇玉米热狗肠,2017/9/17 13:29,C,非饮料,肉干/豆制品/蛋
764,1.5,40g双汇玉米热狗肠,2017/9/17 17:51,C,非饮料,肉干/豆制品/蛋
787,3.0,40g双汇玉米热狗肠,2017/9/24 00:15,C,非饮料,肉干/豆制品/蛋
806,1.5,40g双汇玉米热狗肠,2017/9/27 19:49,C,非饮料,肉干/豆制品/蛋
809,1.5,40g双汇玉米热狗肠,2017/9/28 18:29,C,非饮料,肉干/豆制品/蛋
810,3.0,40g双汇玉米热狗肠,2017/9/29 13:40,C,非饮料,肉干/豆制品/蛋
814,1.5,40g双汇玉米热狗肠,2017/9/30 08:30,C,非饮料,肉干/豆制品/蛋
873,1.5,40g双汇玉米热狗肠,2017/10/3 07:47,C,非饮料,肉干/豆制品/蛋
897,1.5,40g双汇玉米热狗肠,2017/10/4 18:26,C,非饮料,肉干/豆制品/蛋
900,1.5,40g双汇玉米热狗肠,2017/10/5 13:07,C,非饮料,肉干/豆制品/蛋
911,1.5,40g双汇玉米热狗肠,2017/10/8 00:29,C,非饮料,肉干/豆制品/蛋
913,1.5,40g双汇玉米热狗肠,2017/10/9 12:39,C,非饮料,肉干/豆制品/蛋
918,1.5,40g双汇玉米热狗肠,2017/10/10 08:49,C,非饮料,肉干/豆制品/蛋
920,3.0,40g双汇玉米热狗肠,2017/10/10 12:29,C,非饮料,肉干/豆制品/蛋
921,4.5,40g双汇玉米热狗肠,2017/10/10 15:02,C,非饮料,肉干/豆制品/蛋
924,1.5,40g双汇玉米热狗肠,2017/10/10 16:40,C,非饮料,肉干/豆制品/蛋
925,3.0,40g双汇玉米热狗肠,2017/10/10 17:15,C,非饮料,肉干/豆制品/蛋
929,1.5,40g双汇玉米热狗肠,2017/10/11 08:00,C,非饮料,肉干/豆制品/蛋
940,1.5,40g双汇玉米热狗肠,2017/10/12 19:50,C,非饮料,肉干/豆制品/蛋
941,1.5,40g双汇玉米热狗肠,2017/10/12 22:45,C,非饮料,肉干/豆制品/蛋
944,1.5,40g双汇玉米热狗肠,2017/10/13 21:36,C,非饮料,肉干/豆制品/蛋
946,3.0,40g双汇玉米热狗肠,2017/10/15 03:30,C,非饮料,肉干/豆制品/蛋
947,1.5,40g双汇玉米热狗肠,2017/10/15 04:02,C,非饮料,肉干/豆制品/蛋
961,1.5,40g双汇玉米热狗肠,2017/10/17 17:32,C,非饮料,肉干/豆制品/蛋
970,1.5,40g双汇玉米热狗肠,2017/10/20 21:49,C,非饮料,肉干/豆制品/蛋
972,1.5,40g双汇玉米热狗肠,2017/10/21 08:12,C,非饮料,肉干/豆制品/蛋
986,1.5,40g双汇玉米热狗肠,2017/10/25 15:37,C,非饮料,肉干/豆制品/蛋
1005,1.5,40g双汇玉米热狗肠,2017/10/30 12:09,C,非饮料,肉干/豆制品/蛋
1006,1.5,40g双汇玉米热狗肠,2017/10/30 15:13,C,非饮料,肉干/豆制品/蛋
1028,1.5,40g双汇玉米热狗肠,2017/11/6 13:37,C,非饮料,肉干/豆制品/蛋
1030,1.5,40g双汇玉米热狗肠,2017/11/6 15:30,C,非饮料,肉干/豆制品/蛋
1031,1.5,40g双汇玉米热狗肠,2017/11/6 17:31,C,非饮料,肉干/豆制品/蛋
1039,3.0,40g双汇玉米热狗肠,2017/11/8 15:45,C,非饮料,肉干/豆制品/蛋
1041,1.5,40g双汇玉米热狗肠,2017/11/8 17:01,C,非饮料,肉干/豆制品/蛋
1052,3.0,40g双汇玉米热狗肠,2017/11/12 12:33,C,非饮料,肉干/豆制品/蛋
1059,1.5,40g双汇玉米热狗肠,2017/11/14 08:59,C,非饮料,肉干/豆制品/蛋
1061,1.5,40g双汇玉米热狗肠,2017/11/14 14:43,C,非饮料,肉干/豆制品/蛋
1063,1.5,40g双汇玉米热狗肠,2017/11/14 16:20,C,非饮料,肉干/豆制品/蛋
1078,1.5,40g双汇玉米热狗肠,2017/11/17 19:06,C,非饮料,肉干/豆制品/蛋
1094,1.5,40g双汇玉米热狗肠,2017/11/20 13:35,C,非饮料,肉干/豆制品/蛋
1099,3.0,40g双汇玉米热狗肠,2017/11/29 14:51,C,非饮料,肉干/豆制品/蛋
1100,1.5,40g双汇玉米热狗肠,2017/11/30 20:03,C,非饮料,肉干/豆制品/蛋
1113,3.0,40g双汇玉米热狗肠,2017/12/2 22:16,C,非饮料,肉干/豆制品/蛋
1115,1.5,40g双汇玉米热狗肠,2017/12/3 01:29,C,非饮料,肉干/豆制品/蛋
1121,4.5,40g双汇玉米热狗肠,2017/12/3 23:40,C,非饮料,肉干/豆制品/蛋
1125,3.0,40g双汇玉米热狗肠,2017/12/4 13:26,C,非饮料,肉干/豆制品/蛋
1126,1.5,40g双汇玉米热狗肠,2017/12/4 16:08,C,非饮料,肉干/豆制品/蛋
1132,3.0,40g双汇玉米热狗肠,2017/12/6 00:54,C,非饮料,肉干/豆制品/蛋
1138,3.0,40g双汇玉米热狗肠,2017/12/6 18:17,C,非饮料,肉干/豆制品/蛋
1151,1.5,40g双汇玉米热狗肠,2017/12/7 20:56,C,非饮料,肉干/豆制品/蛋
1160,1.5,40g双汇玉米热狗肠,2017/12/9 17:40,C,非饮料,肉干/豆制品/蛋
1170,1.5,40g双汇玉米热狗肠,2017/12/11 07:23,C,非饮料,肉干/豆制品/蛋
1179,1.5,40g双汇玉米热狗肠,2017/12/13 14:07,C,非饮料,肉干/豆制品/蛋
1185,1.5,40g双汇玉米热狗肠,2017/12/15 12:19,C,非饮料,肉干/豆制品/蛋
1193,1.5,40g双汇玉米热狗肠,2017/12/23 11:29,C,非饮料,肉干/豆制品/蛋
1196,1.5,40g双汇玉米热狗肠,2017/12/24 08:33,C,非饮料,肉干/豆制品/蛋
1199,3.0,40g双汇玉米热狗肠,2017/12/26 14:59,C,非饮料,肉干/豆制品/蛋
1200,3.0,40g双汇玉米热狗肠,2017/12/27 11:10,C,非饮料,肉干/豆制品/蛋
1206,1.5,40g双汇玉米热狗肠,2017/12/28 16:42,C,非饮料,肉干/豆制品/蛋
1213,5.0,48g好丽友薯愿香烤原味,2017/1/1 09:05,C,非饮料,膨化食品
1219,5.0,48g好丽友薯愿香烤原味,2017/4/24 20:13,C,非饮料,膨化食品
1220,5.0,48g好丽友薯愿香烤原味,2017/4/27 20:03,C,非饮料,膨化食品
1254,5.0,48g好丽友薯愿香烤原味,2017/8/30 17:30,C,非饮料,膨化食品
1261,5.0,48g好丽友薯愿香烤原味,2017/10/9 12:11,C,非饮料,膨化食品
1263,5.0,48g好丽友薯愿香烤原味,2017/10/15 14:05,C,非饮料,膨化食品
1264,5.0,48g好丽友薯愿香烤原味,2017/10/16 11:59,C,非饮料,膨化食品
1266,5.0,48g好丽友薯愿香烤原味,2017/10/18 14:24,C,非饮料,膨化食品
1280,5.0,48g好丽友薯愿香烤原味,2017/12/2 18:04,C,非饮料,膨化食品
1288,5.0,48g好丽友薯愿香烤原味,2017/12/11 17:46,C,非饮料,膨化食品
1293,3.5,600ml可口可乐,2017/1/11 00:05,C,饮料,碳酸饮料
1300,3.5,600ml可口可乐,2017/3/31 21:49,C,饮料,碳酸饮料
1310,3.5,600ml可口可乐,2017/4/27 17:09,C,饮料,碳酸饮料
1314,3.5,600ml可口可乐,2017/5/2 14:50,C,饮料,碳酸饮料
1319,3.5,600ml可口可乐,2017/5/11 23:43,C,饮料,碳酸饮料
1322,3.5,600ml可口可乐,2017/5/17 07:46,C,饮料,碳酸饮料
1324,3.5,600ml可口可乐,2017/5/19 22:15,C,饮料,碳酸饮料
1337,3.5,600ml可口可乐,2017/5/24 17:48,C,饮料,碳酸饮料
1340,3.5,600ml可口可乐,2017/5/25 17:19,C,饮料,碳酸饮料
1348,3.5,600ml可口可乐,2017/6/1 10:36,C,饮料,碳酸饮料
1357,3.5,600ml可口可乐,2017/6/4 09:44,C,饮料,碳酸饮料
1363,3.5,600ml可口可乐,2017/6/6 13:19,C,饮料,碳酸饮料
1364,3.5,600ml可口可乐,2017/6/8 07:27,C,饮料,碳酸饮料
1376,3.5,600ml可口可乐,2017/6/17 07:08,C,饮料,碳酸饮料
1377,3.5,600ml可口可乐,2017/6/17 14:38,C,饮料,碳酸饮料
1380,3.5,600ml可口可乐,2017/6/18 21:33,C,饮料,碳酸饮料
1406,3.5,600ml可口可乐,2017/6/27 17:35,C,饮料,碳酸饮料
1416,3.5,600ml可口可乐,2017/7/23 16:24,C,饮料,碳酸饮料
1417,3.5,600ml可口可乐,2017/7/24 11:18,C,饮料,碳酸饮料
1418,3.5,600ml可口可乐,2017/7/24 11:48,C,饮料,碳酸饮料
1427,3.5,600ml可口可乐,2017/7/31 12:20,C,饮料,碳酸饮料
1445,3.0,600ml可口可乐,2017/8/19 17:59,C,饮料,碳酸饮料
1449,3.0,600ml可口可乐,2017/8/20 16:15,C,饮料,碳酸饮料
1455,3.0,600ml可口可乐,2017/9/2 16:08,C,饮料,碳酸饮料
1469,3.0,600ml可口可乐,2017/9/15 09:13,C,饮料,碳酸饮料
1475,3.5,600ml可口可乐,2017/9/17 15:02,C,饮料,碳酸饮料
1476,3.0,600ml可口可乐,2017/9/18 13:19,C,饮料,碳酸饮料
1483,3.5,600ml可口可乐,2017/9/23 17:02,C,饮料,碳酸饮料
1488,3.5,600ml可口可乐,2017/9/25 12:46,C,饮料,碳酸饮料
1497,3.5,600ml可口可乐,2017/10/4 12:27,C,饮料,碳酸饮料
1503,3.5,600ml可口可乐,2017/10/6 17:50,C,饮料,碳酸饮料
1510,3.5,600ml可口可乐,2017/10/12 21:20,C,饮料,碳酸饮料
1517,3.5,600ml可口可乐,2017/10/15 08:04,C,饮料,碳酸饮料
1518,3.5,600ml可口可乐,2017/10/16 12:16,C,饮料,碳酸饮料
1519,3.5,600ml可口可乐,2017/10/16 15:13,C,饮料,碳酸饮料
1526,3.5,600ml可口可乐,2017/10/20 12:15,C,饮料,碳酸饮料
1536,3.0,600ml可口可乐,2017/10/24 21:03,C,饮料,碳酸饮料
1540,3.0,600ml可口可乐,2017/10/26 17:52,C,饮料,碳酸饮料
1543,3.5,600ml可口可乐,2017/10/29 20:03,C,饮料,碳酸饮料
1565,3.5,600ml可口可乐,2017/11/13 09:27,C,饮料,碳酸饮料
1581,3.5,600ml可口可乐,2017/11/18 12:35,C,饮料,碳酸饮料
1582,3.0,600ml可口可乐,2017/11/18 14:25,C,饮料,碳酸饮料
1583,3.5,600ml可口可乐,2017/11/19 09:01,C,饮料,碳酸饮料
1586,3.5,600ml可口可乐,2017/11/19 17:42,C,饮料,碳酸饮料
1590,3.5,600ml可口可乐,2017/11/20 16:56,C,饮料,碳酸饮料
1595,3.5,600ml可口可乐,2017/12/1 20:29,C,饮料,碳酸饮料
1616,3.5,600ml可口可乐,2017/12/8 21:46,C,饮料,碳酸饮料
1621,3.5,600ml可口可乐,2017/12/11 02:36,C,饮料,碳酸饮料
1631,3.5,600ml可口可乐,2017/12/16 16:35,C,饮料,碳酸饮料
1640,3.5,600ml可口可乐,2017/12/18 20:32,C,饮料,碳酸饮料
1661,4.0,营养快线,2017/1/9 17:34,C,饮料,乳制品
1662,4.0,营养快线,2017/1/9 17:40,C,饮料,乳制品
1665,4.0,营养快线,2017/1/9 17:48,C,饮料,乳制品
1670,5.0,营养快线,2017/1/10 15:06,C,饮料,乳制品
1676,5.0,营养快线,2017/1/10 22:42,C,饮料,乳制品
1677,5.0,营养快线,2017/1/10 23:48,C,饮料,乳制品
1680,4.5,营养快线,2017/1/19 21:37,C,饮料,乳制品
1683,4.5,营养快线,2017/1/30 21:35,C,饮料,乳制品
1685,4.5,营养快线,2017/1/31 22:00,C,饮料,乳制品
1687,4.5,营养快线,2017/2/2 00:00,C,饮料,乳制品
1691,4.0,营养快线,2017/2/2 10:55,C,饮料,乳制品
1692,4.0,营养快线,2017/2/2 11:29,C,饮料,乳制品
1693,4.0,营养快线,2017/2/2 15:55,C,饮料,乳制品
1699,4.0,营养快线,2017/2/4 09:32,C,饮料,乳制品
1700,4.0,营养快线,2017/2/4 14:44,C,饮料,乳制品
1704,4.0,营养快线,2017/2/5 15:30,C,饮料,乳制品
1705,4.0,营养快线,2017/2/5 17:01,C,饮料,乳制品
1711,5.0,营养快线,2017/2/15 15:08,C,饮料,乳制品
1713,4.0,营养快线,2017/2/17 05:52,C,饮料,乳制品
1715,5.0,营养快线,2017/2/20 00:19,C,饮料,乳制品
1718,4.0,营养快线,2017/2/20 14:30,C,饮料,乳制品
1720,5.0,营养快线,2017/2/22 16:14,C,饮料,乳制品
1732,4.5,营养快线,2017/2/27 16:14,C,饮料,乳制品
1734,5.0,营养快线,2017/2/27 16:43,C,饮料,乳制品
1739,5.0,营养快线,2017/3/28 20:45,C,饮料,乳制品
1759,4.5,营养快线,2017/3/29 17:32,C,饮料,乳制品
1765,4.5,营养快线,2017/3/29 19:43,C,饮料,乳制品
1775,4.0,营养快线,2017/3/30 16:52,C,饮料,乳制品
1776,4.0,营养快线,2017/3/30 17:05,C,饮料,乳制品
1785,5.0,营养快线,2017/3/31 10:02,C,饮料,乳制品
1789,4.0,营养快线,2017/4/1 16:39,C,饮料,乳制品
1793,5.0,营养快线,2017/4/2 10:10,C,饮料,乳制品
1802,4.5,营养快线,2017/4/9 11:25,C,饮料,乳制品
1803,4.5,营养快线,2017/4/9 12:46,C,饮料,乳制品
1804,4.0,营养快线,2017/4/10 18:33,C,饮料,乳制品
1813,4.5,营养快线,2017/4/13 08:53,C,饮料,乳制品
1816,4.5,营养快线,2017/4/13 17:46,C,饮料,乳制品
1818,5.0,营养快线,2017/4/13 23:29,C,饮料,乳制品
1820,5.0,营养快线,2017/4/14 21:30,C,饮料,乳制品
1823,5.0,营养快线,2017/4/15 17:52,C,饮料,乳制品
1832,5.0,营养快线,2017/4/17 16:25,C,饮料,乳制品
1835,4.5,营养快线,2017/4/18 13:53,C,饮料,乳制品
1837,4.5,营养快线,2017/4/18 15:38,C,饮料,乳制品
1838,4.5,营养快线,2017/4/18 16:23,C,饮料,乳制品
1847,4.5,营养快线,2017/4/21 07:53,C,饮料,乳制品
1853,4.0,营养快线,2017/4/22 14:57,C,饮料,乳制品
1855,5.0,营养快线,2017/4/22 18:48,C,饮料,乳制品
1862,5.0,营养快线,2017/4/24 17:18,C,饮料,乳制品
1870,5.0,营养快线,2017/4/27 15:39,C,饮料,乳制品
1872,5.0,营养快线,2017/4/28 10:31,C,饮料,乳制品
1873,4.5,营养快线,2017/4/28 12:17,C,饮料,乳制品
1881,5.0,营养快线,2017/4/29 22:10,C,饮料,乳制品
1883,4.0,营养快线,2017/5/2 23:15,C,饮料,乳制品
1886,4.0,营养快线,2017/5/8 11:43,C,饮料,乳制品
1889,4.0,营养快线,2017/5/10 00:26,C,饮料,乳制品
1890,4.0,营养快线,2017/5/10 01:14,C,饮料,乳制品
1908,4.0,营养快线,2017/5/22 09:44,C,饮料,乳制品
1912,5.0,营养快线,2017/5/24 23:37,C,饮料,乳制品
1914,4.0,营养快线,2017/5/26 02:25,C,饮料,乳制品
1915,4.0,营养快线,2017/5/26 04:59,C,饮料,乳制品
1923,4.0,营养快线,2017/5/28 21:48,C,饮料,乳制品
1925,4.0,营养快线,2017/5/29 13:06,C,饮料,乳制品
1926,4.5,营养快线,2017/5/29 16:04,C,饮料,乳制品
1930,4.0,营养快线,2017/5/30 12:22,C,饮料,乳制品
1933,4.0,营养快线,2017/6/1 08:34,C,饮料,乳制品
1935,4.5,营养快线,2017/6/1 18:55,C,饮料,乳制品
1939,4.0,营养快线,2017/6/2 08:43,C,饮料,乳制品
1944,4.0,营养快线,2017/6/2 17:35,C,饮料,乳制品
1946,4.0,营养快线,2017/6/2 18:45,C,饮料,乳制品
1947,4.0,营养快线,2017/6/2 20:49,C,饮料,乳制品
1952,4.0,营养快线,2017/6/4 09:01,C,饮料,乳制品
1954,4.0,营养快线,2017/6/4 12:28,C,饮料,乳制品
1956,4.5,营养快线,2017/6/4 16:00,C,饮料,乳制品
1966,4.0,营养快线,2017/6/4 20:49,C,饮料,乳制品
1968,5.0,营养快线,2017/6/5 10:58,C,饮料,乳制品
1969,4.0,营养快线,2017/6/5 12:01,C,饮料,乳制品
1973,5.0,营养快线,2017/6/5 20:05,C,饮料,乳制品
1977,4.0,营养快线,2017/6/5 23:10,C,饮料,乳制品
1978,4.0,营养快线,2017/6/6 00:00,C,饮料,乳制品
