,金额,商品,支付时间,地点,大类,二级类
81,4.5,68g好丽友巧克力派2枚,2017/9/30 16:24,E,非饮料,饼干糕点
88,4.5,68g好丽友巧克力派2枚,2017/10/15 15:45,E,非饮料,饼干糕点
101,4.5,68g好丽友巧克力派2枚,2017/10/26 17:11,E,非饮料,饼干糕点
103,4.5,68g好丽友巧克力派2枚,2017/10/27 14:43,E,非饮料,饼干糕点
104,4.5,68g好丽友巧克力派2枚,2017/10/27 21:47,E,非饮料,饼干糕点
105,4.5,68g好丽友巧克力派2枚,2017/10/29 01:35,E,非饮料,饼干糕点
106,4.5,68g好丽友巧克力派2枚,2017/10/29 05:23,E,非饮料,饼干糕点
111,4.5,68g好丽友巧克力派2枚,2017/11/5 18:52,E,非饮料,饼干糕点
112,4.5,68g好丽友巧克力派2枚,2017/11/6 09:58,E,非饮料,饼干糕点
116,4.5,68g好丽友巧克力派2枚,2017/11/8 14:12,E,非饮料,饼干糕点
117,4.5,68g好丽友巧克力派2枚,2017/11/9 08:53,E,非饮料,饼干糕点
120,4.5,68g好丽友巧克力派2枚,2017/11/13 08:53,E,非饮料,饼干糕点
122,4.5,68g好丽友巧克力派2枚,2017/11/13 16:47,E,非饮料,饼干糕点
123,4.5,68g好丽友巧克力派2枚,2017/11/15 16:36,E,非饮料,饼干糕点
124,4.5,68g好丽友巧克力派2枚,2017/11/16 19:37,E,非饮料,饼干糕点
125,4.5,68g好丽友巧克力派2枚,2017/11/20 16:40,E,非饮料,饼干糕点
134,4.5,68g好丽友巧克力派2枚,2017/12/13 12:23,E,非饮料,饼干糕点
136,4.5,68g好丽友巧克力派2枚,2017/12/18 00:07,E,非饮料,饼干糕点
138,4.5,68g好丽友巧克力派2枚,2017/12/21 10:47,E,非饮料,饼干糕点
139,4.5,68g好丽友巧克力派2枚,2017/12/29 09:26,E,非饮料,饼干糕点
187,1.5,40g双汇玉米热狗肠,2017/4/3 14:41,E,非饮料,肉干/豆制品/蛋
189,3.0,40g双汇玉米热狗肠,2017/4/9 15:55,E,非饮料,肉干/豆制品/蛋
198,1.5,40g双汇玉米热狗肠,2017/4/15 16:48,E,非饮料,肉干/豆制品/蛋
200,3.0,40g双汇玉米热狗肠,2017/4/16 17:40,E,非饮料,肉干/豆制品/蛋
204,3.0,40g双汇玉米热狗肠,2017/4/17 16:46,E,非饮料,肉干/豆制品/蛋
208,2.0,40g双汇玉米热狗肠,2017/4/18 20:55,E,非饮料,肉干/豆制品/蛋
216,1.5,40g双汇玉米热狗肠,2017/4/22 23:29,E,非饮料,肉干/豆制品/蛋
232,1.5,40g双汇玉米热狗肠,2017/4/30 19:00,E,非饮料,肉干/豆制品/蛋
235,1.5,40g双汇玉米热狗肠,2017/5/1 18:28,E,非饮料,肉干/豆制品/蛋
243,1.5,40g双汇玉米热狗肠,2017/5/5 04:34,E,非饮料,肉干/豆制品/蛋
247,4.5,40g双汇玉米热狗肠,2017/5/5 23:16,E,非饮料,肉干/豆制品/蛋
250,3.0,40g双汇玉米热狗肠,2017/5/6 21:21,E,非饮料,肉干/豆制品/蛋
255,4.5,40g双汇玉米热狗肠,2017/5/9 17:50,E,非饮料,肉干/豆制品/蛋
258,2.0,40g双汇玉米热狗肠,2017/5/10 10:17,E,非饮料,肉干/豆制品/蛋
259,1.5,40g双汇玉米热狗肠,2017/5/10 14:32,E,非饮料,肉干/豆制品/蛋
268,1.5,40g双汇玉米热狗肠,2017/5/13 07:55,E,非饮料,肉干/豆制品/蛋
269,3.0,40g双汇玉米热狗肠,2017/5/13 07:58,E,非饮料,肉干/豆制品/蛋
273,1.5,40g双汇玉米热狗肠,2017/5/14 15:04,E,非饮料,肉干/豆制品/蛋
275,2.0,40g双汇玉米热狗肠,2017/5/14 18:31,E,非饮料,肉干/豆制品/蛋
283,3.0,40g双汇玉米热狗肠,2017/5/17 12:03,E,非饮料,肉干/豆制品/蛋
286,1.5,40g双汇玉米热狗肠,2017/5/18 05:12,E,非饮料,肉干/豆制品/蛋
289,1.5,40g双汇玉米热狗肠,2017/5/18 11:59,E,非饮料,肉干/豆制品/蛋
290,1.5,40g双汇玉米热狗肠,2017/5/18 23:04,E,非饮料,肉干/豆制品/蛋
296,1.5,40g双汇玉米热狗肠,2017/5/19 17:36,E,非饮料,肉干/豆制品/蛋
302,3.0,40g双汇玉米热狗肠,2017/5/20 12:02,E,非饮料,肉干/豆制品/蛋
304,1.5,40g双汇玉米热狗肠,2017/5/20 20:35,E,非饮料,肉干/豆制品/蛋
305,1.5,40g双汇玉米热狗肠,2017/5/20 23:46,E,非饮料,肉干/豆制品/蛋
311,3.0,40g双汇玉米热狗肠,2017/5/22 16:03,E,非饮料,肉干/豆制品/蛋
322,3.0,40g双汇玉米热狗肠,2017/5/24 02:47,E,非饮料,肉干/豆制品/蛋
323,3.0,40g双汇玉米热狗肠,2017/5/24 08:47,E,非饮料,肉干/豆制品/蛋
327,3.0,40g双汇玉米热狗肠,2017/5/24 19:50,E,非饮料,肉干/豆制品/蛋
333,1.5,40g双汇玉米热狗肠,2017/5/26 17:41,E,非饮料,肉干/豆制品/蛋
339,4.0,40g双汇玉米热狗肠,2017/5/26 23:06,E,非饮料,肉干/豆制品/蛋
344,1.5,40g双汇玉米热狗肠,2017/5/27 15:18,E,非饮料,肉干/豆制品/蛋
348,3.0,40g双汇玉米热狗肠,2017/5/28 03:29,E,非饮料,肉干/豆制品/蛋
349,1.5,40g双汇玉米热狗肠,2017/5/28 08:50,E,非饮料,肉干/豆制品/蛋
352,1.5,40g双汇玉米热狗肠,2017/5/28 20:19,E,非饮料,肉干/豆制品/蛋
354,3.0,40g双汇玉米热狗肠,2017/5/28 23:51,E,非饮料,肉干/豆制品/蛋
358,4.5,40g双汇玉米热狗肠,2017/5/29 17:38,E,非饮料,肉干/豆制品/蛋
366,3.0,40g双汇玉米热狗肠,2017/5/30 20:03,E,非饮料,肉干/豆制品/蛋
372,1.5,40g双汇玉米热狗肠,2017/6/1 13:35,E,非饮料,肉干/豆制品/蛋
373,1.5,40g双汇玉米热狗肠,2017/6/1 16:23,E,非饮料,肉干/豆制品/蛋
378,1.5,40g双汇玉米热狗肠,2017/6/2 21:44,E,非饮料,肉干/豆制品/蛋
385,3.0,40g双汇玉米热狗肠,2017/6/4 08:17,E,非饮料,肉干/豆制品/蛋
390,1.5,40g双汇玉米热狗肠,2017/6/4 12:31,E,非饮料,肉干/豆制品/蛋
392,3.0,40g双汇玉米热狗肠,2017/6/4 14:51,E,非饮料,肉干/豆制品/蛋
395,1.5,40g双汇玉米热狗肠,2017/6/4 17:17,E,非饮料,肉干/豆制品/蛋
408,3.0,40g双汇玉米热狗肠,2017/6/6 17:32,E,非饮料,肉干/豆制品/蛋
416,3.0,40g双汇玉米热狗肠,2017/6/7 12:09,E,非饮料,肉干/豆制品/蛋
417,4.5,40g双汇玉米热狗肠,2017/6/7 12:15,E,非饮料,肉干/豆制品/蛋
422,3.0,40g双汇玉米热狗肠,2017/6/7 18:48,E,非饮料,肉干/豆制品/蛋
425,3.0,40g双汇玉米热狗肠,2017/6/7 21:57,E,非饮料,肉干/豆制品/蛋
427,3.0,40g双汇玉米热狗肠,2017/6/8 09:54,E,非饮料,肉干/豆制品/蛋
429,3.0,40g双汇玉米热狗肠,2017/6/8 15:38,E,非饮料,肉干/豆制品/蛋
430,3.0,40g双汇玉米热狗肠,2017/6/8 19:59,E,非饮料,肉干/豆制品/蛋
431,3.0,40g双汇玉米热狗肠,2017/6/8 20:43,E,非饮料,肉干/豆制品/蛋
434,3.0,40g双汇玉米热狗肠,2017/6/9 13:28,E,非饮料,肉干/豆制品/蛋
436,3.0,40g双汇玉米热狗肠,2017/6/9 14:53,E,非饮料,肉干/豆制品/蛋
438,3.0,40g双汇玉米热狗肠,2017/6/9 15:07,E,非饮料,肉干/豆制品/蛋
439,3.0,40g双汇玉米热狗肠,2017/6/9 15:34,E,非饮料,肉干/豆制品/蛋
441,3.0,40g双汇玉米热狗肠,2017/6/9 17:33,E,非饮料,肉干/豆制品/蛋
442,3.0,40g双汇玉米热狗肠,2017/6/9 17:34,E,非饮料,肉干/豆制品/蛋
445,3.0,40g双汇玉米热狗肠,2017/6/9 21:53,E,非饮料,肉干/豆制品/蛋
446,3.0,40g双汇玉米热狗肠,2017/6/10 02:08,E,非饮料,肉干/豆制品/蛋
447,3.0,40g双汇玉米热狗肠,2017/6/10 05:26,E,非饮料,肉干/豆制品/蛋
448,3.0,40g双汇玉米热狗肠,2017/6/10 07:04,E,非饮料,肉干/豆制品/蛋
450,3.0,40g双汇玉米热狗肠,2017/6/10 09:13,E,非饮料,肉干/豆制品/蛋
452,3.0,40g双汇玉米热狗肠,2017/6/10 15:40,E,非饮料,肉干/豆制品/蛋
453,2.0,40g双汇玉米热狗肠,2017/6/10 19:00,E,非饮料,肉干/豆制品/蛋
457,2.0,40g双汇玉米热狗肠,2017/6/11 07:34,E,非饮料,肉干/豆制品/蛋
458,1.5,40g双汇玉米热狗肠,2017/6/11 07:49,E,非饮料,肉干/豆制品/蛋
461,1.5,40g双汇玉米热狗肠,2017/6/11 14:07,E,非饮料,肉干/豆制品/蛋
462,1.5,40g双汇玉米热狗肠,2017/6/11 14:20,E,非饮料,肉干/豆制品/蛋
463,1.5,40g双汇玉米热狗肠,2017/6/11 15:38,E,非饮料,肉干/豆制品/蛋
464,1.5,40g双汇玉米热狗肠,2017/6/11 15:48,E,非饮料,肉干/豆制品/蛋
465,1.5,40g双汇玉米热狗肠,2017/6/11 15:52,E,非饮料,肉干/豆制品/蛋
467,1.5,40g双汇玉米热狗肠,2017/6/11 17:43,E,非饮料,肉干/豆制品/蛋
468,1.5,40g双汇玉米热狗肠,2017/6/11 17:44,E,非饮料,肉干/豆制品/蛋
469,1.5,40g双汇玉米热狗肠,2017/6/11 18:06,E,非饮料,肉干/豆制品/蛋
470,1.5,40g双汇玉米热狗肠,2017/6/11 20:59,E,非饮料,肉干/豆制品/蛋
472,1.5,40g双汇玉米热狗肠,2017/6/11 21:40,E,非饮料,肉干/豆制品/蛋
473,1.5,40g双汇玉米热狗肠,2017/6/11 22:04,E,非饮料,肉干/豆制品/蛋
474,1.5,40g双汇玉米热狗肠,2017/6/11 23:09,E,非饮料,肉干/豆制品/蛋
475,1.5,40g双汇玉米热狗肠,2017/6/11 23:10,E,非饮料,肉干/豆制品/蛋
477,1.5,40g双汇玉米热狗肠,2017/6/12 00:09,E,非饮料,肉干/豆制品/蛋
479,1.5,40g双汇玉米热狗肠,2017/6/12 03:57,E,非饮料,肉干/豆制品/蛋
481,1.5,40g双汇玉米热狗肠,2017/6/12 11:59,E,非饮料,肉干/豆制品/蛋
483,1.5,40g双汇玉米热狗肠,2017/6/12 16:50,E,非饮料,肉干/豆制品/蛋
484,1.5,40g双汇玉米热狗肠,2017/6/12 17:34,E,非饮料,肉干/豆制品/蛋
485,1.5,40g双汇玉米热狗肠,2017/6/12 18:19,E,非饮料,肉干/豆制品/蛋
486,1.5,40g双汇玉米热狗肠,2017/6/12 18:29,E,非饮料,肉干/豆制品/蛋
489,1.5,40g双汇玉米热狗肠,2017/6/12 21:47,E,非饮料,肉干/豆制品/蛋
490,1.5,40g双汇玉米热狗肠,2017/6/12 22:07,E,非饮料,肉干/豆制品/蛋
491,1.5,40g双汇玉米热狗肠,2017/6/12 22:11,E,非饮料,肉干/豆制品/蛋
493,1.5,40g双汇玉米热狗肠,2017/6/12 23:01,E,非饮料,肉干/豆制品/蛋
494,1.5,40g双汇玉米热狗肠,2017/6/12 23:12,E,非饮料,肉干/豆制品/蛋
495,1.5,40g双汇玉米热狗肠,2017/6/12 23:24,E,非饮料,肉干/豆制品/蛋
496,1.5,40g双汇玉米热狗肠,2017/6/13 00:13,E,非饮料,肉干/豆制品/蛋
497,1.5,40g双汇玉米热狗肠,2017/6/13 00:24,E,非饮料,肉干/豆制品/蛋
501,1.5,40g双汇玉米热狗肠,2017/6/13 17:03,E,非饮料,肉干/豆制品/蛋
502,1.5,40g双汇玉米热狗肠,2017/6/13 17:39,E,非饮料,肉干/豆制品/蛋
504,1.5,40g双汇玉米热狗肠,2017/6/13 19:37,E,非饮料,肉干/豆制品/蛋
505,1.5,40g双汇玉米热狗肠,2017/6/13 23:27,E,非饮料,肉干/豆制品/蛋
509,1.5,40g双汇玉米热狗肠,2017/6/14 11:10,E,非饮料,肉干/豆制品/蛋
513,1.5,40g双汇玉米热狗肠,2017/6/14 21:12,E,非饮料,肉干/豆制品/蛋
515,1.5,40g双汇玉米热狗肠,2017/6/15 07:52,E,非饮料,肉干/豆制品/蛋
516,1.5,40g双汇玉米热狗肠,2017/6/15 09:19,E,非饮料,肉干/豆制品/蛋
518,1.5,40g双汇玉米热狗肠,2017/6/15 13:14,E,非饮料,肉干/豆制品/蛋
519,1.5,40g双汇玉米热狗肠,2017/6/15 13:49,E,非饮料,肉干/豆制品/蛋
520,1.5,40g双汇玉米热狗肠,2017/6/15 13:54,E,非饮料,肉干/豆制品/蛋
522,1.5,40g双汇玉米热狗肠,2017/6/15 15:03,E,非饮料,肉干/豆制品/蛋
525,1.5,40g双汇玉米热狗肠,2017/6/16 00:06,E,非饮料,肉干/豆制品/蛋
526,1.5,40g双汇玉米热狗肠,2017/6/16 00:31,E,非饮料,肉干/豆制品/蛋
527,1.5,40g双汇玉米热狗肠,2017/6/16 01:44,E,非饮料,肉干/豆制品/蛋
528,1.5,40g双汇玉米热狗肠,2017/6/16 02:53,E,非饮料,肉干/豆制品/蛋
529,1.5,40g双汇玉米热狗肠,2017/6/16 04:31,E,非饮料,肉干/豆制品/蛋
530,1.5,40g双汇玉米热狗肠,2017/6/16 12:13,E,非饮料,肉干/豆制品/蛋
531,1.5,40g双汇玉米热狗肠,2017/6/16 12:24,E,非饮料,肉干/豆制品/蛋
533,1.5,40g双汇玉米热狗肠,2017/6/16 15:00,E,非饮料,肉干/豆制品/蛋
541,1.5,40g双汇玉米热狗肠,2017/6/17 20:20,E,非饮料,肉干/豆制品/蛋
547,1.5,40g双汇玉米热狗肠,2017/6/18 21:31,E,非饮料,肉干/豆制品/蛋
557,3.0,40g双汇玉米热狗肠,2017/6/21 09:56,E,非饮料,肉干/豆制品/蛋
595,3.0,40g双汇玉米热狗肠,2017/6/30 10:05,E,非饮料,肉干/豆制品/蛋
596,2.0,40g双汇玉米热狗肠,2017/6/30 11:56,E,非饮料,肉干/豆制品/蛋
599,3.0,40g双汇玉米热狗肠,2017/6/30 20:28,E,非饮料,肉干/豆制品/蛋
600,1.5,40g双汇玉米热狗肠,2017/6/30 23:12,E,非饮料,肉干/豆制品/蛋
601,1.5,40g双汇玉米热狗肠,2017/6/30 23:15,E,非饮料,肉干/豆制品/蛋
602,1.5,40g双汇玉米热狗肠,2017/6/30 23:38,E,非饮料,肉干/豆制品/蛋
603,1.5,40g双汇玉米热狗肠,2017/6/30 23:54,E,非饮料,肉干/豆制品/蛋
604,3.0,40g双汇玉米热狗肠,2017/6/30 23:58,E,非饮料,肉干/豆制品/蛋
617,3.0,40g双汇玉米热狗肠,2017/7/11 09:46,E,非饮料,肉干/豆制品/蛋
621,1.5,40g双汇玉米热狗肠,2017/7/24 14:09,E,非饮料,肉干/豆制品/蛋
624,3.0,40g双汇玉米热狗肠,2017/7/24 17:16,E,非饮料,肉干/豆制品/蛋
625,1.5,40g双汇玉米热狗肠,2017/7/24 18:49,E,非饮料,肉干/豆制品/蛋
626,1.5,40g双汇玉米热狗肠,2017/7/25 13:06,E,非饮料,肉干/豆制品/蛋
633,3.0,40g双汇玉米热狗肠,2017/7/30 09:08,E,非饮料,肉干/豆制品/蛋
634,3.0,40g双汇玉米热狗肠,2017/7/30 11:56,E,非饮料,肉干/豆制品/蛋
636,1.5,40g双汇玉米热狗肠,2017/7/31 07:41,E,非饮料,肉干/豆制品/蛋
637,1.5,40g双汇玉米热狗肠,2017/7/31 10:06,E,非饮料,肉干/豆制品/蛋
638,1.5,40g双汇玉米热狗肠,2017/7/31 12:05,E,非饮料,肉干/豆制品/蛋
640,1.5,40g双汇玉米热狗肠,2017/7/31 15:47,E,非饮料,肉干/豆制品/蛋
641,1.5,40g双汇玉米热狗肠,2017/7/31 16:05,E,非饮料,肉干/豆制品/蛋
642,1.5,40g双汇玉米热狗肠,2017/7/31 19:37,E,非饮料,肉干/豆制品/蛋
643,1.5,40g双汇玉米热狗肠,2017/8/1 09:06,E,非饮料,肉干/豆制品/蛋
646,1.5,40g双汇玉米热狗肠,2017/8/7 10:20,E,非饮料,肉干/豆制品/蛋
647,2.0,40g双汇玉米热狗肠,2017/8/9 19:51,E,非饮料,肉干/豆制品/蛋
650,3.0,40g双汇玉米热狗肠,2017/8/14 14:19,E,非饮料,肉干/豆制品/蛋
652,4.5,40g双汇玉米热狗肠,2017/8/15 15:20,E,非饮料,肉干/豆制品/蛋
654,1.5,40g双汇玉米热狗肠,2017/8/17 12:19,E,非饮料,肉干/豆制品/蛋
655,1.5,40g双汇玉米热狗肠,2017/8/18 10:12,E,非饮料,肉干/豆制品/蛋
656,1.5,40g双汇玉米热狗肠,2017/8/18 12:35,E,非饮料,肉干/豆制品/蛋
657,1.5,40g双汇玉米热狗肠,2017/8/18 14:38,E,非饮料,肉干/豆制品/蛋
658,1.5,40g双汇玉米热狗肠,2017/8/18 15:48,E,非饮料,肉干/豆制品/蛋
660,1.5,40g双汇玉米热狗肠,2017/8/19 09:01,E,非饮料,肉干/豆制品/蛋
661,3.0,40g双汇玉米热狗肠,2017/8/19 15:04,E,非饮料,肉干/豆制品/蛋
663,1.5,40g双汇玉米热狗肠,2017/8/19 16:34,E,非饮料,肉干/豆制品/蛋
664,1.5,40g双汇玉米热狗肠,2017/8/19 19:25,E,非饮料,肉干/豆制品/蛋
665,3.0,40g双汇玉米热狗肠,2017/8/19 20:08,E,非饮料,肉干/豆制品/蛋
667,2.0,40g双汇玉米热狗肠,2017/8/20 16:18,E,非饮料,肉干/豆制品/蛋
669,1.5,40g双汇玉米热狗肠,2017/8/21 12:05,E,非饮料,肉干/豆制品/蛋
670,1.5,40g双汇玉米热狗肠,2017/8/21 14:10,E,非饮料,肉干/豆制品/蛋
671,1.5,40g双汇玉米热狗肠,2017/8/21 16:38,E,非饮料,肉干/豆制品/蛋
672,3.0,40g双汇玉米热狗肠,2017/8/22 09:27,E,非饮料,肉干/豆制品/蛋
673,1.5,40g双汇玉米热狗肠,2017/8/22 12:12,E,非饮料,肉干/豆制品/蛋
674,1.5,40g双汇玉米热狗肠,2017/8/22 12:27,E,非饮料,肉干/豆制品/蛋
675,4.5,40g双汇玉米热狗肠,2017/8/22 13:39,E,非饮料,肉干/豆制品/蛋
676,3.0,40g双汇玉米热狗肠,2017/8/22 14:39,E,非饮料,肉干/豆制品/蛋
678,1.5,40g双汇玉米热狗肠,2017/8/25 07:47,E,非饮料,肉干/豆制品/蛋
679,1.5,40g双汇玉米热狗肠,2017/8/25 14:17,E,非饮料,肉干/豆制品/蛋
681,2.0,40g双汇玉米热狗肠,2017/8/26 14:38,E,非饮料,肉干/豆制品/蛋
682,1.5,40g双汇玉米热狗肠,2017/8/26 14:51,E,非饮料,肉干/豆制品/蛋
683,1.5,40g双汇玉米热狗肠,2017/8/27 15:57,E,非饮料,肉干/豆制品/蛋
684,1.5,40g双汇玉米热狗肠,2017/8/28 14:32,E,非饮料,肉干/豆制品/蛋
685,1.5,40g双汇玉米热狗肠,2017/8/28 17:17,E,非饮料,肉干/豆制品/蛋
686,3.0,40g双汇玉米热狗肠,2017/8/29 08:49,E,非饮料,肉干/豆制品/蛋
687,2.0,40g双汇玉米热狗肠,2017/8/29 11:05,E,非饮料,肉干/豆制品/蛋
688,1.5,40g双汇玉米热狗肠,2017/8/29 12:38,E,非饮料,肉干/豆制品/蛋
689,1.5,40g双汇玉米热狗肠,2017/8/30 09:07,E,非饮料,肉干/豆制品/蛋
690,1.5,40g双汇玉米热狗肠,2017/8/30 13:26,E,非饮料,肉干/豆制品/蛋
691,1.5,40g双汇玉米热狗肠,2017/8/30 14:39,E,非饮料,肉干/豆制品/蛋
693,1.5,40g双汇玉米热狗肠,2017/8/30 16:44,E,非饮料,肉干/豆制品/蛋
694,1.5,40g双汇玉米热狗肠,2017/8/30 17:52,E,非饮料,肉干/豆制品/蛋
695,1.5,40g双汇玉米热狗肠,2017/8/30 19:22,E,非饮料,肉干/豆制品/蛋
696,1.5,40g双汇玉米热狗肠,2017/9/1 09:12,E,非饮料,肉干/豆制品/蛋
699,1.5,40g双汇玉米热狗肠,2017/9/1 13:57,E,非饮料,肉干/豆制品/蛋
701,1.5,40g双汇玉米热狗肠,2017/9/1 17:22,E,非饮料,肉干/豆制品/蛋
703,1.5,40g双汇玉米热狗肠,2017/9/1 22:42,E,非饮料,肉干/豆制品/蛋
704,1.5,40g双汇玉米热狗肠,2017/9/2 14:51,E,非饮料,肉干/豆制品/蛋
705,1.5,40g双汇玉米热狗肠,2017/9/2 18:04,E,非饮料,肉干/豆制品/蛋
706,1.5,40g双汇玉米热狗肠,2017/9/2 19:07,E,非饮料,肉干/豆制品/蛋
711,2.0,40g双汇玉米热狗肠,2017/9/3 16:24,E,非饮料,肉干/豆制品/蛋
712,1.5,40g双汇玉米热狗肠,2017/9/3 16:36,E,非饮料,肉干/豆制品/蛋
718,3.0,40g双汇玉米热狗肠,2017/9/3 21:24,E,非饮料,肉干/豆制品/蛋
721,3.0,40g双汇玉米热狗肠,2017/9/5 11:00,E,非饮料,肉干/豆制品/蛋
722,3.0,40g双汇玉米热狗肠,2017/9/6 09:10,E,非饮料,肉干/豆制品/蛋
723,3.0,40g双汇玉米热狗肠,2017/9/6 21:18,E,非饮料,肉干/豆制品/蛋
725,1.5,40g双汇玉米热狗肠,2017/9/7 10:49,E,非饮料,肉干/豆制品/蛋
727,2.0,40g双汇玉米热狗肠,2017/9/7 15:33,E,非饮料,肉干/豆制品/蛋
728,3.0,40g双汇玉米热狗肠,2017/9/7 16:27,E,非饮料,肉干/豆制品/蛋
730,1.5,40g双汇玉米热狗肠,2017/9/8 09:01,E,非饮料,肉干/豆制品/蛋
733,3.0,40g双汇玉米热狗肠,2017/9/8 12:26,E,非饮料,肉干/豆制品/蛋
735,3.0,40g双汇玉米热狗肠,2017/9/10 22:20,E,非饮料,肉干/豆制品/蛋
737,1.5,40g双汇玉米热狗肠,2017/9/10 23:06,E,非饮料,肉干/豆制品/蛋
738,4.5,40g双汇玉米热狗肠,2017/9/11 01:54,E,非饮料,肉干/豆制品/蛋
739,1.5,40g双汇玉米热狗肠,2017/9/11 11:26,E,非饮料,肉干/豆制品/蛋
740,1.5,40g双汇玉米热狗肠,2017/9/11 16:11,E,非饮料,肉干/豆制品/蛋
741,1.5,40g双汇玉米热狗肠,2017/9/11 16:55,E,非饮料,肉干/豆制品/蛋
742,1.5,40g双汇玉米热狗肠,2017/9/11 17:56,E,非饮料,肉干/豆制品/蛋
743,1.5,40g双汇玉米热狗肠,2017/9/12 12:12,E,非饮料,肉干/豆制品/蛋
745,1.5,40g双汇玉米热狗肠,2017/9/13 08:58,E,非饮料,肉干/豆制品/蛋
747,3.0,40g双汇玉米热狗肠,2017/9/14 09:11,E,非饮料,肉干/豆制品/蛋
748,1.5,40g双汇玉米热狗肠,2017/9/14 13:44,E,非饮料,肉干/豆制品/蛋
749,3.0,40g双汇玉米热狗肠,2017/9/14 13:50,E,非饮料,肉干/豆制品/蛋
750,3.0,40g双汇玉米热狗肠,2017/9/14 15:03,E,非饮料,肉干/豆制品/蛋
754,1.5,40g双汇玉米热狗肠,2017/9/14 18:29,E,非饮料,肉干/豆制品/蛋
755,3.0,40g双汇玉米热狗肠,2017/9/14 20:08,E,非饮料,肉干/豆制品/蛋
756,1.5,40g双汇玉米热狗肠,2017/9/14 20:14,E,非饮料,肉干/豆制品/蛋
759,1.5,40g双汇玉米热狗肠,2017/9/16 12:08,E,非饮料,肉干/豆制品/蛋
760,1.5,40g双汇玉米热狗肠,2017/9/16 16:54,E,非饮料,肉干/豆制品/蛋
763,3.0,40g双汇玉米热狗肠,2017/9/17 16:46,E,非饮料,肉干/豆制品/蛋
766,1.5,40g双汇玉米热狗肠,2017/9/18 13:07,E,非饮料,肉干/豆制品/蛋
767,1.5,40g双汇玉米热狗肠,2017/9/19 18:16,E,非饮料,肉干/豆制品/蛋
770,3.0,40g双汇玉米热狗肠,2017/9/20 16:10,E,非饮料,肉干/豆制品/蛋
771,1.5,40g双汇玉米热狗肠,2017/9/20 17:34,E,非饮料,肉干/豆制品/蛋
774,3.0,40g双汇玉米热狗肠,2017/9/21 17:00,E,非饮料,肉干/豆制品/蛋
776,1.5,40g双汇玉米热狗肠,2017/9/21 18:15,E,非饮料,肉干/豆制品/蛋
781,1.5,40g双汇玉米热狗肠,2017/9/22 15:08,E,非饮料,肉干/豆制品/蛋
782,3.0,40g双汇玉米热狗肠,2017/9/23 10:09,E,非饮料,肉干/豆制品/蛋
783,1.5,40g双汇玉米热狗肠,2017/9/23 10:22,E,非饮料,肉干/豆制品/蛋
784,1.5,40g双汇玉米热狗肠,2017/9/23 15:17,E,非饮料,肉干/豆制品/蛋
